id,query,ground_truth,predicted,correct,votes,num_docs_retrieved
pubmed_1,Is anorectal endosonography valuable in dyschesia?,yes,yes,True,['yes'],5
pubmed_2,Is there a connection between sublingual varices and hypertension?,yes,yes,True,['yes'],5
pubmed_3,Is the affinity column-mediated immunoassay method suitable as an alternative to the microparticle enzyme immunoassay method as a blood tacrolimus assay?,yes,maybe,False,['maybe'],5
pubmed_4,Does a physician's specialty influence the recording of medication history in patients' case notes?,yes,yes,True,['yes'],5
pubmed_5,Locoregional opening of the rodent blood-brain barrier for paclitaxel using Nd:YAG laser-induced thermo therapy: a new concept of adjuvant glioma therapy?,yes,yes,True,['yes'],5
pubmed_6,Spinal subdural hematoma: a sequela of a ruptured intracranial aneurysm?,yes,maybe,False,['maybe'],5
pubmed_7,Is there a correlation between androgens and sexual desire in women?,yes,maybe,False,['maybe'],5
pubmed_8,Is the zeolite hemostatic agent beneficial in reducing blood loss during arterial injury?,yes,yes,True,['yes'],5
pubmed_9,Are endothelial cell patterns of astrocytomas indicative of grade?,yes,yes,True,['yes'],5
pubmed_10,Should cavitation in proximal surfaces be reported in cone beam computed tomography examination?,yes,yes,True,['yes'],5
pubmed_11,Ultrasound in squamous cell carcinoma of the penis; a useful addition to clinical staging?,yes,maybe,False,['maybe'],5
pubmed_12,Can third trimester ultrasound predict the presentation of the first twin at delivery?,yes,yes,True,['yes'],5
pubmed_13,Is micro-computed tomography reliable to determine the microstructure of the maxillary alveolar bone?,yes,maybe,False,['maybe'],5
pubmed_14,Is primary angioplasty an acceptable alternative to thrombolysis?,yes,yes,True,['yes'],5
pubmed_15,Is endometrial polyp formation associated with increased expression of vascular endothelial growth factor and transforming growth factor-beta1?,yes,yes,True,['yes'],5
pubmed_16,Improvements in survival of gynaecological cancer in the Anglia region of England: are these an effect of centralisation of care and use of multidisciplinary management?,yes,yes,True,['yes'],5
pubmed_17,Estimated fetal weight by ultrasound: a modifiable risk factor for cesarean delivery?,yes,maybe,False,['maybe'],5
pubmed_18,Are financial incentives cost-effective to support smoking cessation during pregnancy?,yes,maybe,False,['maybe'],5
pubmed_19,Do adjuvant aromatase inhibitors increase the cardiovascular risk in postmenopausal women with early breast cancer?,yes,yes,True,['yes'],5
pubmed_20,Is fear of anaphylactic shock discouraging surgeons from more widely adopting percutaneous and laparoscopic techniques in the treatment of liver hydatid cyst?,yes,yes,True,['yes'],5
pubmed_21,Risk stratification in emergency surgical patients: is the APACHE II score a reliable marker of physiological impairment?,yes,maybe,False,['maybe'],5
pubmed_22,Can Flexible Instruments Create Adequate Femoral Tunnel Lengths at 90° of Knee Flexion in Anterior Cruciate Ligament Reconstruction?,yes,yes,True,['yes'],5
pubmed_23,Do mitochondria play a role in remodelling lace plant leaves during programmed cell death?,yes,maybe,False,['maybe'],5
pubmed_24,"""Occult"" posttraumatic lesions of the knee: can magnetic resonance substitute for diagnostic arthroscopy?",yes,maybe,False,['maybe'],5
pubmed_25,Does Sensation Return to the Nasal Tip After Microfat Grafting?,yes,yes,True,['yes'],5
pubmed_26,Do some U.S. states have higher/lower injury mortality rates than others?,yes,yes,True,['yes'],5
pubmed_27,Hepatorenal syndrome: are we missing some prognostic factors?,yes,maybe,False,['maybe'],5
pubmed_28,"The Main Gate Syndrome: a new format in mass-casualty victim ""surge"" management?",yes,no,False,['no'],5
pubmed_29,Is EQ-5D a valid quality of life instrument in patients with acute coronary syndrome?,yes,yes,True,['yes'],5
pubmed_30,Is portable ultrasonography accurate in the evaluation of Schanz pin placement during extremity fracture fixation in austere environments?,yes,no,False,['no'],5
pubmed_31,Is grandmultiparity an independent risk factor for adverse perinatal outcomes?,yes,yes,True,['yes'],5
pubmed_32,Does depression diagnosis and antidepressant prescribing vary by location?,yes,yes,True,['yes'],5
pubmed_33,Learning needs of postpartum women: does socioeconomic status matter?,yes,yes,True,['yes'],5
